"Åñ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options,Commodity Futures,Commodity Futures Options each in contract month numerical order.",,,,,,,,,,,
Åñ the issues which passed the trading date is not listed in this file.,,,,,,,,,,,
Issue Code,Issue Name,PutÅ^Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Price,Volatility ,Interest Rate,Days until Maturity,Underlying Name
160060018,FUT_225_250612,,202506,,34280,34251,34220.6,,0.6209,52,Nikkei 225
160090018,FUT_225_250911,,202509,,34250,34258,34220.6,,0.8573,143,Nikkei 225
160120018,FUT_225_251211,,202512,,34040,34048,34220.6,,0.8082,234,Nikkei 225
161030018,FUT_225_260312,,202603,,34040,34032,34220.6,,0.8082,325,Nikkei 225
161060018,FUT_225_260611,,202606,,33800,33795,34220.6,,0.8082,416,Nikkei 225
161090018,FUT_225_260910,,202609,,33810,33787,34220.6,,0.8082,507,Nikkei 225
161120018,FUT_225_261210,,202612,,33610,33588,34220.6,,0.8082,598,Nikkei 225
162060018,FUT_225_270610,,202706,,33400,33341,34220.6,,0.8082,780,Nikkei 225
162120018,FUT_225_271209,,202712,,33230,33138,34220.6,,0.8082,962,Nikkei 225
163060018,FUT_225_280608,,202806,,33040,32897,34220.6,,0.8082,1144,Nikkei 225
163120018,FUT_225_281207,,202812,,32890,32699,34220.6,,0.8082,1326,Nikkei 225
164060018,FUT_225_290607,,202906,,32740,32464,34220.6,,0.8082,1508,Nikkei 225
164120018,FUT_225_291213,,202912,,32620,32276,34220.6,,0.8082,1697,Nikkei 225
165060018,FUT_225_300613,,203006,,32480,32045,34220.6,,0.8082,1879,Nikkei 225
165120018,FUT_225_301212,,203012,,32370,31856,34220.6,,0.8082,2061,Nikkei 225
166060018,FUT_225_310612,,203106,,32260,31631,34220.6,,0.8082,2243,Nikkei 225
166120018,FUT_225_311211,,203112,,32200,31447,34220.6,,0.8082,2425,Nikkei 225
167060018,FUT_225_320610,,203206,,32100,31227,34220.6,,0.8082,2607,Nikkei 225
167120018,FUT_225_321209,,203212,,32020,31047,34220.6,,0.8082,2789,Nikkei 225
160050019,FUT_225M_250508,,202505,,34270,34230,34220.6,,0.6209,17,Nikkei 225
160060019,FUT_225M_250612,,202506,,34280,34251,34220.6,,0.6209,52,Nikkei 225
160070019,FUT_225M_250710,,202507,,34260,34231,34220.6,,0.8009,80,Nikkei 225
160080019,FUT_225M_250807,,202508,,34285,34256,34220.6,,0.8573,108,Nikkei 225
160090019,FUT_225M_250911,,202509,,34250,34258,34220.6,,0.8573,143,Nikkei 225
160120019,FUT_225M_251211,,202512,,34040,34048,34220.6,,0.8082,234,Nikkei 225
161030019,FUT_225M_260312,,202603,,34040,34032,34220.6,,0.8082,325,Nikkei 225
161060019,FUT_225M_260611,,202606,,33800,33795,34220.6,,0.8082,416,Nikkei 225
161090019,FUT_225M_260910,,202609,,33810,33787,34220.6,,0.8082,507,Nikkei 225
161120019,FUT_225M_261210,,202612,,33610,33588,34220.6,,0.8082,598,Nikkei 225
162060019,FUT_225M_270610,,202706,,33400,33341,34220.6,,0.8082,780,Nikkei 225
162120019,FUT_225M_271209,,202712,,33230,33138,34220.6,,0.8082,962,Nikkei 225
163060019,FUT_225M_280608,,202806,,33040,32897,34220.6,,0.8082,1144,Nikkei 225
163120019,FUT_225M_281207,,202812,,32890,32699,34220.6,,0.8082,1326,Nikkei 225
164060019,FUT_225M_290607,,202906,,32740,32464,34220.6,,0.8082,1508,Nikkei 225
164120019,FUT_225M_291213,,202912,,32620,32276,34220.6,,0.8082,1697,Nikkei 225
160050023,FUT_225MC_250508,,202505,,34270,34230,34220.6,,0.6209,17,Nikkei 225
160060023,FUT_225MC_250612,,202506,,34280,34251,34220.6,,0.6209,52,Nikkei 225
160070023,FUT_225MC_250710,,202507,,34260,34231,34220.6,,0.8009,80,Nikkei 225
160090023,FUT_225MC_250911,,202509,,34250,34258,34220.6,,0.8573,143,Nikkei 225
160060005,FUT_TPX_250612,,202506,,2536.5,2534.2,2532.12,,0.6209,52,TOPIX
160090005,FUT_TPX_250911,,202509,,2538.5,2536,2532.12,,0.8573,143,TOPIX
160120005,FUT_TPX_251211,,202512,,2516.5,2514,2532.12,,0.8082,234,TOPIX
161030005,FUT_TPX_260312,,202603,,2516.5,2514.2,2532.12,,0.8082,325,TOPIX
161060005,FUT_TPX_260611,,202606,,2491.5,2489,2532.12,,0.8082,416,TOPIX
160060006,FUT_TPXM_250612,,202506,,2536.5,2534.18,2532.12,,0.6209,52,TOPIX
160090006,FUT_TPXM_250911,,202509,,2538.5,2535.97,2532.12,,0.8573,143,TOPIX
160120006,FUT_TPXM_251211,,202512,,2516.5,2514.03,2532.12,,0.8082,234,TOPIX
160060022,FUT_400_250612,,202506,,23015,22995,22975.47,,0.6209,52,JPX-Nikkei Index 400
160090022,FUT_400_250911,,202509,,23025,23003,22975.47,,0.8573,143,JPX-Nikkei Index 400
160120022,FUT_400_251211,,202512,,22820,22800,22975.47,,0.8082,234,JPX-Nikkei Index 400
161030022,FUT_400_260312,,202603,,22815,22795,22975.47,,0.8082,325,JPX-Nikkei Index 400
161060022,FUT_400_260611,,202606,,22595,22576,22975.47,,0.8082,416,JPX-Nikkei Index 400
160060012,FUT_JP150_250612,,202506,,1108.5,1108.7,1107.78,,0.6209,52,JPX Prime 150 Index
160090012,FUT_JP150_250911,,202509,,1109.5,1109.5,1107.78,,0.8573,143,JPX Prime 150 Index
160120012,FUT_JP150_251211,,202512,,1100,1099.9,1107.78,,0.8082,234,JPX Prime 150 Index
161030012,FUT_JP150_260312,,202603,,1100,1099.9,1107.78,,0.8082,325,JPX Prime 150 Index
161060012,FUT_JP150_260611,,202606,,1089,1088.9,1107.78,,0.8082,416,JPX Prime 150 Index
160060063,FUT_C30_250612,,202506,,1296,1295.8,1294.67,,0.6209,52,TOPIX Core30
160090063,FUT_C30_250911,,202509,,1298,1298.1,1294.67,,0.8573,143,TOPIX Core30
160120063,FUT_C30_251211,,202512,,1286,1285.9,1294.67,,0.8082,234,TOPIX Core30
160060065,FUT_SJESG_250612,,202506,,2900,2899.9,2897.58,,0.6209,52,S&P/JPX 500 ESG Score Tilted Index
160090065,FUT_SJESG_250911,,202509,,2902,2902,2897.58,,0.8573,143,S&P/JPX 500 ESG Score Tilted Index
160120065,FUT_SJESG_251211,,202512,,2877,2876.9,2897.58,,0.8082,234,S&P/JPX 500 ESG Score Tilted Index
160060066,FUT_FJNZR_250612,,202506,,1726,1726,1724.62,,0.6209,52,FTSE JPX Net Zero Japan 500 Index
160090066,FUT_FJNZR_250911,,202509,,1727,1727.2,1724.62,,0.8573,143,FTSE JPX Net Zero Japan 500 Index
160120066,FUT_FJNZR_251211,,202512,,1712.5,1712.3,1724.62,,0.8082,234,FTSE JPX Net Zero Japan 500 Index
160060067,FUT_NKC15_250612,,202506,,33970,33974,33943.59,,0.6209,52,Nikkei Climate 1.5Åé Target Index
160090067,FUT_NKC15_250911,,202509,,33980,33981,33943.59,,0.8573,143,Nikkei Climate 1.5Åé Target Index
160120067,FUT_NKC15_251211,,202512,,33770,33772,33943.59,,0.8082,234,Nikkei Climate 1.5Åé Target Index
160060032,FUT_BANK_250612,,202506,,327.3,327.3,326.98,,0.6209,52,TOPIX Banks Index
160090032,FUT_BANK_250911,,202509,,328.1,328.1,326.98,,0.8573,143,TOPIX Banks Index
160120032,FUT_BANK_251211,,202512,,323.4,323.4,326.98,,0.8082,234,TOPIX Banks Index
160060069,FUT_REIT_250612,,202506,,1714.5,1714.6,1723.8,,0.6209,52,TSE REIT Index
160090069,FUT_REIT_250911,,202509,,1690.5,1690.5,1723.8,,0.8573,143,TSE REIT Index
160120069,FUT_REIT_251211,,202512,,1680.5,1680.3,1723.8,,0.8082,234,TSE REIT Index
160060073,FUT_DJIA_250620,,202506,,38529,,38170.41,,,62,DJIA
160090073,FUT_DJIA_250919,,202509,,38660,,38170.41,,,153,DJIA
160120073,FUT_DJIA_251219,,202512,,39014,,38170.41,,,244,DJIA
161030073,FUT_DJIA_260319,,202603,,39426,,38170.41,,,335,DJIA
160060076,FUT_RNP_250612,,202506,,1701.5,1701.4,1700,,0.6209,52,RNP
160090076,FUT_RNP_250911,,202509,,1702.5,1702.6,1700,,0.8573,143,RNP
160120076,FUT_RNP_251211,,202512,,1688,1687.9,1700,,0.8082,234,RNP
161030076,FUT_RNP_260312,,202603,,1688,1687.9,1700,,0.8082,325,RNP
161060076,FUT_RNP_260611,,202606,,1671,1671.1,1700,,0.8082,416,RNP
160120017,FUT_NKDV_260331,,202512,,778,,,,,344,Nikkei Stock Average Dividend Point Index
161120017,FUT_NKDV_270331,,202612,,750,,,,,709,Nikkei Stock Average Dividend Point Index
162120017,FUT_NKDV_280331,,202712,,748,,,,,1077,Nikkei Stock Average Dividend Point Index
163120017,FUT_NKDV_290330,,202812,,745,,,,,1441,Nikkei Stock Average Dividend Point Index
164120017,FUT_NKDV_300329,,202912,,734.9,,,,,1805,Nikkei Stock Average Dividend Point Index
165120017,FUT_NKDV_310331,,203012,,669.8,,,,,2170,Nikkei Stock Average Dividend Point Index
166120017,FUT_NKDV_320331,,203112,,669.8,,,,,2536,Nikkei Stock Average Dividend Point Index
167120017,FUT_NKDV_330331,,203212,,669.8,,,,,2901,Nikkei Stock Average Dividend Point Index
160060001,FUT_JBL_250613,,202506,,140.7,,,,,59,10-year JGB
160090001,FUT_JBL_250912,,202509,,140.28,,,,,153,10-year JGB
160120001,FUT_JBL_251215,,202512,,139.29,,,,,244,10-year JGB
160060007,FUT_JBLM_250612,,202506,,140.7,,,,,52,10-year JGB
160090007,FUT_JBLM_250911,,202509,,140.28,,,,,143,10-year JGB
160120007,FUT_JBLM_251212,,202512,,139.29,,,,,237,10-year JGB
160060004,FUT_JBM_250613,,202506,,109.02,,,,,59,5-year JGB
160090004,FUT_JBM_250912,,202509,,108.82,,,,,153,5-year JGB
160120004,FUT_JBM_251215,,202512,,108.58,,,,,244,5-year JGB
160060002,FUT_JBS_250613,,202506,,111.18,,,,,59,20-year JGB
160090002,FUT_JBS_250912,,202509,,110.06,,,,,153,20-year JGB
